CO_ID,CL_ID,DATA_INT,QTD_TOTAL_ITENS,QTD_PRODUTOS_DIFERENTES,PRODUTOS,DATA_COMPRA,index,GENERO,ESTADO_CIVIL,NUMERO_FILHOS,SEGMENTO_ECONOMICO,MES_ANO
1000,534,2019-02-01,52,46,"['ABACAXI', 'AZEITE', 'BANANA', 'COGUMELOS', 'COPA SUINA', 'CORACAO DE FRANGO', 'PATE', 'QUEIJO MUSSARELA', 'SARDINHA', 'UVA', 'REFRIGERANTE COLA', 'REFRIGERANTE GUARANA', 'REFRIGERANTE LARANJA', 'REFRIGERANTE LIMaO', 'REFRIGERANTE OUTROS', 'PAPEL HIGIENICO', 'PRESERVATIVO', 'REPELENTE', 'AMACIANTE', 'REMOVEDOR', 'UVA', 'TIRA MANCHA', 'SABONETE', 'RODO', 'RICOTA', 'REFRIGERANTE GUARANA', 'QUEIJO MUSSARELA', 'PATE', 'PALMITO', 'MORTADELA', 'LIMPADOR MULTIUSO', 'LIMPA VIDROS', 'LENCO UMEDECIDO', 'LATA DE ERVILHA', 'KETCHUP', 'HASTES FLEXIVEIS', 'GRANOLA', 'FRALDA', 'ENERGETICO', 'DETERGENTE', 'COGUMELOS', 'BIFE DE COXAO MOLE', 'BANANA', 'ATUM', 'ARROZ INTEGRAL', 'ALMONDEGA']",2019-02-01,533,M,Solteiro,1,C,2019-02
1040,279,2019-02-01,15,15,"['CAFE', 'LEITE CONDENSADO', 'MAMAO PAPAYA', 'OVOS', 'SALGADINHOS DE MILHO', 'ESCOVA DE DENTE', 'ALCOOL', 'AMACIANTE', 'LUSTRA MOVEIS', 'SABAO', 'RACAO UMIDA PARA GATOS', 'QUEIJO MUSSARELA', 'MORDEDOR', 'LEITE', 'CONDICIONADOR']",2019-02-01,278,M,Casado ou União Estável,2,B,2019-02
1078,290,2019-02-01,82,63,"['CHUPETA', 'ACHOCOLATADO', 'ALHO', 'BANANA', 'BATATA', 'BISCOITO', 'CAFE', 'CENOURA', 'CHA', 'COGUMELOS', 'CORACAO DE FRANGO', 'FILE DE PEIXE', 'LATA DE ERVILHA', 'LATA DE MILHO', 'LIMAO', 'MAMAO', 'OVOS', 'PALMITO', 'QUEIJO MUSSARELA', 'SALGADINHO', 'SNACKS', 'TOMATE', 'FIO DENTAL', 'HIDRATANTE', 'LENCO UMEDECIDO', 'PAPEL HIGIENICO', 'SHAMPOO', 'AGUA SANITARIA', 'DESINFETANTE', 'LIMPA VIDROS', 'LUSTRA MOVEIS', 'ODORIZADOR', 'Sem Nome', 'RODO', 'TIRA MANCHA', 'RACAO SECA PARA CAES', 'RACAO UMIDA PARA CAES', 'TOMATE', 'TIRA MANCHA', 'TINTURAS', 'SARDINHA', 'RICOTA', 'REQUEIJAO', 'REFRIGERANTE COLA', 'RACAO UMIDA PARA GATOS', 'QUEIJO DE CABRA', 'PROTETOR SOLAR', 'PATE', 'PASTA DE DENTE', 'PALMITO', 'ODORIZADOR', 'LUSTRA MOVEIS', 'LINGUICA', 'LIMPADOR PERFUMADO', 'LEITE', 'GEL', 'FRALDA', 'FIXADOR', 'DETERGENTE', 'CHUPETA', 'CENOURA', 'CAFE', 'ATUM']",2019-02-01,289,F,Casado ou União Estável,0,B,2019-02
1082,323,2019-02-01,71,62,"['ALMONDEGA', 'AZEITE', 'CAFE', 'DANETTE', 'FILE DE PEIXE', 'LATA DE ERVILHA', 'LEITE CONDENSADO', 'MACARRAO INSTANTANEO', 'MAMAO', 'OVOS', 'PAPINHA INFANTIL', 'PATE', 'PRESUNTO COZIDO', 'PRESUNTO COZIDO', 'SALGADINHO', 'REFRIGERANTE LARANJA', 'REFRIGERANTE LIMaO', 'REFRIGERANTE OUTROS', 'FIO DENTAL', 'FRALDA', 'HASTES FLEXIVEIS', 'PAPEL HIGIENICO', 'PASTA DE DENTE', 'ALCOOL', 'AMACIANTE', 'CERA', 'DESENGORDURANTE', 'SABAO', 'SABAO EM PO', 'TIRA MANCHA', 'VASSOURA', 'RACAO SECA PARA GATOS', 'TOMATE', 'TIRA LIMO', 'TINTURAS', 'TALCO', 'SABAO', 'RODO', 'REFRIGERANTE LIMaO', 'REFRIGERANTE LARANJA', 'REFRIGERANTE GUARANA', 'RACAO UMIDA PARA CAES', 'PRESERVATIVO', 'PASTA DE DENTE', 'PAPINHA INFANTIL', 'PALMITO', 'MODELADOR', 'LUSTRA MOVEIS', 'LINGUICA', 'LEITE', 'INSETICIDA', 'HASTES FLEXIVEIS', 'GEL', 'FEIJAO', 'ENERGETICO', 'DESINFETANTE', 'CREME', 'CERA', 'CENOURA', 'BATATA', 'AMACIANTE', 'ALMONDEGA']",2019-02-01,322,M,Casado ou União Estável,3,B,2019-02
1103,957,2019-02-01,6,6,"['BATATA DOCE', 'DANETTE', 'DOCE', 'PROTETOR SOLAR', 'Sem Nome', 'LATA DE ERVILHA']",2019-02-01,956,M,Divorciado,3,B,2019-02
1121,49,2019-02-01,64,54,"['ABACAXI', 'AZEITONA', 'BATATA DOCE', 'BROCOLIS', 'CENOURA', 'COPA SUINA', 'DOCE', 'HAMBUGUER', 'LATA DE MILHO', 'MAMAO PAPAYA', 'PAO DE FORMA', 'PATE', 'UVA', 'ENERGETICO', 'ESCOVA DE DENTE', 'HASTES FLEXIVEIS', 'LENCO UMEDECIDO', 'PROTETOR SOLAR', 'TALCO', 'TINTURAS', 'AGUA SANITARIA', 'BALDE', 'DESINFETANTE', 'DETERGENTE', 'LIMPA VIDROS', 'REMOVEDOR', 'VASSOURA', 'RACAO SECA PARA CAES', 'RACAO UMIDA PARA GATOS', 'TIRA MANCHA', 'TINTURAS', 'SHAMPOO', 'SARDINHA', 'RACAO UMIDA PARA CAES', 'RACAO SECA PARA CAES', 'PROTETOR SOLAR', 'PAO DE FORMA', 'PALMITO', 'OVOS', 'MORDEDOR', 'MAMAO', 'MACARRAO', 'LINGUICA', 'LIMPADOR PERFUMADO', 'LEITE', 'IOGURTE', 'INSETICIDA', 'COPA SUINA', 'COGUMELOS', 'BISCOITO', 'BATATA', 'BALDE', 'AZEITONA', 'ARROZ INTEGRAL']",2019-02-01,48,M,Divorciado,0,C,2019-02
1188,906,2019-02-01,78,67,"['CHUPETA', 'ABACAXI', 'BROCOLIS', 'CAFE', 'CORACAO DE FRANGO', 'DANETTE', 'FEIJAO', 'LATA DE ERVILHA', 'LEITE CONDENSADO', 'LIMAO', 'MACARRAO', 'MAMAO', 'PALMITO', 'PAO DE FORMA', 'QUEIJO DE CABRA', 'QUEIJO MUSSARELA', 'REQUEIJAO', 'SALGADINHOS DE MILHO', 'SNACKS', 'UVA', 'CONDICIONADOR', 'ESCOVA DE DENTE', 'FIO DENTAL', 'FRALDA', 'HASTES FLEXIVEIS', 'PRESERVATIVO', 'PROTETOR SOLAR', 'SHAMPOO', 'TALCO', 'TINTURAS', 'AGUA SANITARIA', 'AMACIANTE', 'BALDE', 'INSETICIDA', 'LIMPADOR MULTIUSO', 'ALIMENTO PARA PASSARO', 'RACAO SECA PARA GATOS', 'RACAO UMIDA PARA GATOS', 'UVA', 'SABONETE', 'SABAO', 'RODO', 'RICOTA', 'REPELENTE', 'REFRIGERANTE OUTROS', 'RACAO UMIDA PARA GATOS', 'RACAO SECA PARA CAES', 'PALMITO', 'OVOS', 'MORTADELA', 'MACARRAO INSTANTANEO', 'LIMPADOR MULTIUSO', 'LIMAO', 'KETCHUP', 'HIDRATANTE', 'FIO DENTAL', 'FEIJAO', 'ENXAGUANTE BUCAL', 'ENERGETICO', 'DOCE', 'DESENGORDURANTE', 'CORACAO DE FRANGO', 'COPA SUINA', 'CEBOLA', 'BROCOLIS', 'BATATA DOCE', 'ARROZ INTEGRAL']",2019-02-01,905,M,Divorciado,0,A,2019-02
1200,653,2019-02-01,81,70,"['CHUPETA', 'ABACATE', 'ABACAXI', 'ALMONDEGA', 'AZEITONA', 'COGUMELOS', 'CORACAO DE FRANGO', 'COXA E SOBRECOXA DE FRANGO', 'KETCHUP', 'LATA DE ERVILHA', 'LINGUICA', 'MACARRAO', 'MACARRAO INSTANTANEO', 'MAMAO', 'MANGA', 'MORTADELA', 'OVOS', 'PRESUNTO COZIDO', 'SALGADINHOS DE MILHO', 'REFRIGERANTE GUARANA', 'REFRIGERANTE LARANJA', 'ABSORVENTE', 'CONDICIONADOR', 'ESCOVA DE DENTE', 'FIXADOR', 'FRALDA', 'GEL', 'PAPEL HIGIENICO', 'PROTETOR SOLAR', 'REPELENTE', 'TINTURAS', 'ALCOOL', 'AMACIANTE', 'DESENGORDURANTE', 'LIMPA VIDROS', 'LIMPADOR PERFUMADO', 'REMOVEDOR', 'TIRA MANCHA', 'RACAO SECA PARA CAES', 'UVA', 'TALCO', 'SHAMPOO', 'SARDINHA', 'SALGADINHOS DE MILHO', 'SABONETE', 'SABAO', 'REFRIGERANTE LARANJA', 'PAO DE FORMA', 'PALMITO', 'MAMAO PAPAYA', 'LINGUICA', 'LIMAO', 'LEITE', 'LATA DE ERVILHA', 'IOGURTE', 'INSETICIDA', 'HIDRATANTE', 'GRANOLA', 'GEL', 'FIXADOR', 'FIO DENTAL', 'FILE DE PEIXE', 'DETERGENTE', 'COXA E SOBRECOXA DE FRANGO', 'CEBOLA', 'BIFE DE COXAO MOLE', 'BANANA', 'ATUM', 'ARROZ', 'AMACIANTE']",2019-02-01,652,M,Divorciado,0,C,2019-02
1240,842,2019-02-01,37,33,"['ABACAXI', 'BISCOITO', 'CHA', 'PATE', 'SNACKS', 'ENERGETICO', 'REFRIGERANTE LARANJA', 'PASTA DE DENTE', 'ALCOOL', 'BALDE', 'LIMPADOR PERFUMADO', 'LUSTRA MOVEIS', 'ALIMENTO PARA PASSARO', 'RACAO SECA PARA GATOS', 'RACAO UMIDA PARA GATOS', 'TINTURAS', 'SABAO', 'RICOTA', 'REMOVEDOR', 'RACAO SECA PARA CAES', 'PROTETOR SOLAR', 'PRESUNTO COZIDO', 'OVOS', 'MODELADOR', 'LUSTRA MOVEIS', 'LIMPADOR MULTIUSO', 'LATA DE ERVILHA', 'ENXAGUANTE BUCAL', 'CREME', 'CONDICIONADOR', 'BISCOITO', 'BIFE DE COXAO MOLE', 'ARROZ INTEGRAL']",2019-02-01,841,M,Viúvo,2,B,2019-02
1293,616,2019-02-01,8,8,"['ACHOCOLATADO', 'LATA DE ERVILHA', 'MAMAO PAPAYA', 'ENERGETICO', 'CERA', 'TALCO', 'SHAMPOO', 'LEITE CONDENSADO']",2019-02-01,615,F,Casado ou União Estável,2,C,2019-02
